t,EnsembleRandomUpdateAll,eAnnealing,UCB1,Random,eGreedy0.1,Naive3,Softmax0.1,EXP30.5,EnsembleEAnnealingUpdateAll,
100,,0.07,0.05,0.09,0.07,,0.09,0.11,0.08,
200,,0.07,0.05,0.08,0.06,,0.085,0.075,0.085,
300,,0.0666666666667,0.0533333333333,0.0766666666667,0.06,,0.07,0.0633333333333,0.0666666666667,
400,,0.065,0.05,0.0725,0.0575,,0.065,0.06,0.06,
500,,0.058,0.046,0.064,0.058,,0.072,0.058,0.058,
600,,0.0666666666667,0.04,0.0583333333333,0.06,,0.0683333333333,0.0533333333333,0.055,
700,,0.0642857142857,0.0371428571429,0.0585714285714,0.0585714285714,,0.0685714285714,0.0557142857143,0.0542857142857,
800,,0.05625,0.04,0.0575,0.05625,,0.065,0.06,0.055,
900,,0.0566666666667,0.0377777777778,0.0577777777778,0.0566666666667,,0.0633333333333,0.0577777777778,0.0555555555556,
1000,,0.053,0.036,0.055,0.054,,0.062,0.059,0.053,
1100,,0.0518181818182,0.0363636363636,0.0518181818182,0.05,,0.06,0.0563636363636,0.0518181818182,
1200,,0.0541666666667,0.0383333333333,0.05,0.0516666666667,,0.0616666666667,0.055,0.05,
1300,,0.0546153846154,0.0376923076923,0.0492307692308,0.05,,0.0607692307692,0.0538461538462,0.0461538461538,
1400,,0.0535714285714,0.0414285714286,0.0507142857143,0.05,,0.06,0.0521428571429,0.0457142857143,
1500,,0.0526666666667,0.0406666666667,0.05,0.0513333333333,,0.058,0.054,0.046,
1600,,0.05,0.04125,0.048125,0.05125,,0.05875,0.050625,0.04625,
1700,,0.0505882352941,0.0394117647059,0.0488235294118,0.05,,0.0594117647059,0.05,0.0470588235294,
1800,,0.0488888888889,0.0383333333333,0.0466666666667,0.0488888888889,,0.0566666666667,0.0483333333333,0.0466666666667,
1900,,0.0494736842105,0.0368421052632,0.0468421052632,0.0478947368421,,0.0552631578947,0.0478947368421,0.0489473684211,
2000,,0.0495,0.036,0.0465,0.047,,0.055,0.051,0.0475,
2100,,0.0490476190476,0.0347619047619,0.0447619047619,0.0461904761905,,0.0552380952381,0.0504761904762,0.047619047619,
