TimeBin,UCB1,eGreedy0.1,EnsembleEAnnealingUpdateAll,EXP30.5,EnsembleRandomUpdateAll,Naive3,Random,eAnnealing,Softmax0.1,
0,0.0533333333333,0.07,0.085,0.11,0.08,0.08,0.09,0.07,0.09,
10,0.0414285714286,0.0483720930233,0.05,0.0513333333333,0.0507142857143,0.068,0.0439473684211,0.0511538461538,0.0558333333333,
20,0.0382926829268,0.0472093023256,0.0496774193548,0.0470909090909,0.0466666666667,0.0605555555556,0.0411904761905,0.0501369863014,0.0530188679245,
30,0.0387692307692,0.0497115384615,0.0490384615385,0.0442268041237,0.0477551020408,0.0576666666667,0.0397709923664,0.0521568627451,0.0527433628319,
40,0.0387692307692,0.0506603773585,0.0498412698413,0.0442452830189,0.0463793103448,0.0565909090909,0.0373372781065,0.0514678899083,0.0525438596491,
50,0.0367415730337,0.0496694214876,0.0510344827586,0.043625,0.0470526315789,0.0548,0.0354502369668,0.0508571428571,0.0513291139241,
60,0.0363636363636,0.0486713286713,0.0527884615385,0.0436585365854,0.0477884615385,0.0527868852459,0.033893129771,0.0494512195122,0.0509340659341,
70,0.0361194029851,0.0479255319149,0.0525471698113,0.0428648648649,0.0471929824561,0.0531958762887,0.0341230769231,0.0488601036269,0.0488571428571,
80,0.0347741935484,0.048,0.051796875,0.0416355140187,0.0471851851852,0.0538317757009,0.0341666666667,0.0477130044843,0.0468907563025,
90,0.0338285714286,0.0470283018868,0.0522535211268,0.0405226480836,0.0469135802469,0.0535135135135,0.0342133333333,0.0469884169884,0.0471739130435,
100,0.0325252525253,0.0476219512195,0.05125,0.040830449827,0.047005988024,0.0542056074766,0.0338442211055,0.047747440273,0.0470764119601,
110,0.0315750915751,0.0482285714286,0.05,0.0412974683544,0.0464804469274,0.0542990654206,0.0336842105263,0.04865625,0.0474018126888,
120,0.0319333333333,0.0493963254593,0.049935483871,0.0414114114114,0.0455555555556,0.0541666666667,0.0338811881188,0.0495977011494,0.0477158774373,
130,0.0330959752322,0.050637254902,0.049875,0.0414958448753,0.0444131455399,0.0533898305085,0.0338745387454,0.050433604336,0.0478378378378,
140,0.0338662790698,0.0520649651972,0.05,0.0418652849741,0.0434934497817,0.0525925925926,0.0343729372937,0.0508638743455,0.0467183462532,
150,0.0344134078212,0.0534955752212,0.0502083333333,0.0418863049096,0.0438735177866,0.052275862069,0.0347706422018,0.0527163461538,0.0462790697674,
160,0.0344134078212,0.0550743099788,0.050103626943,0.041985645933,0.0436882129278,0.0521764705882,0.0352064896755,0.0542562929062,0.0471816283925,
