Simulation started at: 2015-02-07 16:27:08
Input file: sampleData.txt
Policy: Random Policy
Lines Evaluations Clicks CTR 
3045000 60958 3043 0.0499196167853
3050000 61069 3045 0.0498616319245
3055000 61169 3049 0.0498455099805
3060000 61286 3055 0.0498482524557
3065000 61386 3062 0.0498810803766
3070000 61496 3068 0.0498894237024
3075000 61595 3071 0.0498579430149
3080000 61689 3076 0.049863022581
3085000 61801 3078 0.0498050193363
3090000 61890 3081 0.0497818710616
3095000 61983 3088 0.0498201119662
3100000 62090 3096 0.0498631019488
3105000 62199 3100 0.0498400295825
3110000 62301 3106 0.0498547374841
3115000 62411 3113 0.0498790277355
3120000 62502 3118 0.0498864036351
3125000 62603 3124 0.0499017618964
3130000 62692 3133 0.0499744784023
3135000 62795 3137 0.0499562067044
3140000 62883 3146 0.050029419716
3145000 62984 3150 0.0500127016385
3150000 63101 3153 0.0499675124008
3155000 63204 3156 0.0499335485096
3160000 63315 3162 0.0499407723288
3165000 63407 3165 0.0499156244579
3170000 63510 3167 0.049866162809
3175000 63618 3175 0.0499072589519
3180000 63734 3179 0.0498791853642
3185000 63868 3187 0.0498997933237
3190000 63980 3192 0.0498905908096
3195000 64088 3201 0.0499469479466
3200000 64187 3202 0.0498854908315
3205000 64280 3210 0.0499377722464
3210000 64407 3217 0.04994798702
3215000 64497 3221 0.0499403073011
3220000 64607 3230 0.0499945826304
3225000 64700 3234 0.0499845440495
3230000 64792 3240 0.0500061736017
3235000 64915 3249 0.0500500654702
3240000 65026 3255 0.0500569003168
3245000 65116 3256 0.0500030714417
3250000 65212 3258 0.0499601300374
3255000 65306 3262 0.0499494686553
3260000 65425 3266 0.0499197554452
3265000 65516 3271 0.0499267354539
3270000 65611 3278 0.0499611345659
3275000 65715 3288 0.0500342387583
3280000 65817 3290 0.0499870854035
3285000 65902 3295 0.0499984825954
3290000 65994 3297 0.0499590871897
3295000 66099 3304 0.0499856276192
3300000 66193 3306 0.0499448582176
3305000 66282 3310 0.0499381430856
3310000 66388 3318 0.0499789118515
3315000 66471 3323 0.049991725715
3320000 66572 3329 0.0500060085321
3325000 66661 3333 0.0499992499362
3330000 66754 3336 0.0499745333613
3335000 66844 3340 0.0499670875471
3340000 66938 3343 0.0499417371299
3345000 67018 3347 0.0499418066788
3350000 67126 3350 0.0499061466496
3355000 67223 3354 0.0498936375943
3360000 67351 3362 0.0499175958783
3365000 67473 3364 0.049856979829
3370000 67577 3371 0.0498838362165
3375000 67681 3378 0.0499106100678
3380000 67782 3382 0.0498952524269
3385000 67867 3386 0.0498916999425
3390000 67945 3387 0.0498491426889
3395000 68034 3390 0.0498280271629
3400000 68148 3398 0.0498620649175
3405000 68253 3399 0.0498000087908
3410000 68347 3400 0.0497461483313
3415000 68432 3408 0.0498012625672
3420000 68525 3414 0.0498212331266
3425000 68620 3420 0.0498396968814
3430000 68733 3427 0.049859601647
3435000 68828 3434 0.0498924856163
3440000 68921 3438 0.0498831996053
3445000 69028 3444 0.0498927971258
3450000 69132 3447 0.0498611352196
3455000 69231 3455 0.0499053892043
3460000 69336 3459 0.0498875043268
3465000 69439 3464 0.0498855110241
3470000 69523 3468 0.0498827726076
3475000 69621 3474 0.0498987374499
3480000 69727 3478 0.04988024725
3485000 69821 3484 0.0498990275132
3490000 69919 3489 0.0499005992649
3495000 70015 3489 0.0498321788188
3500000 70108 3493 0.049823130028
3505000 70223 3496 0.0497842587187
3510000 70321 3508 0.0498855249499
3515000 70421 3510 0.0498430865793
3520000 70520 3512 0.0498014747589
3525000 70615 3520 0.0498477660554
3530000 70728 3525 0.0498388191381
3535000 70839 3527 0.0497889580598
3540000 70944 3530 0.0497575552548
3545000 71034 3535 0.0497649013149
3550000 71117 3542 0.0498052505027
3555000 71228 3549 0.0498259111585
3560000 71328 3553 0.0498121354868
3565000 71442 3557 0.0497886397357
3570000 71514 3560 0.0497804625668
3575000 71625 3562 0.0497312390925
3580000 71740 3571 0.0497769724003
3585000 71846 3580 0.0498288004899
3590000 71949 3588 0.0498686569654
3595000 72064 3594 0.0498723357016
3600000 72179 3599 0.0498621482703
3605000 72287 3599 0.0497876519983
3610000 72382 3601 0.0497499378298
3615000 72472 3606 0.049757147588
3620000 72581 3608 0.0497099791957
3625000 72663 3611 0.0496951681048
3630000 72759 3618 0.0497258071166
3635000 72866 3621 0.0496939587736
3640000 72954 3626 0.0497025522932
3645000 73066 3629 0.0496674239728
3650000 73186 3633 0.0496406416528
3655000 73280 3642 0.0496997816594
3660000 73391 3644 0.0496518646701
3665000 73482 3651 0.0496856372989
3670000 73560 3657 0.0497145187602
3675000 73655 3663 0.0497318579866
3680000 73765 3671 0.0497661492578
3685000 73872 3677 0.0497752869829
3690000 73980 3682 0.0497702081644
3695000 74087 3687 0.0497658158651
3700000 74183 3690 0.0497418546028
3705000 74285 3693 0.0497139395571
3710000 74382 3702 0.0497701056707
3715000 74476 3707 0.0497744239755
3720000 74586 3714 0.0497948676695
3725000 74685 3717 0.0497690299257
3730000 74777 3718 0.0497211709483
3735000 74872 3724 0.0497382198953
3740000 74972 3731 0.0497652456917
3745000 75076 3734 0.0497362672492
3750000 75191 3741 0.0497532949422
3755000 75292 3747 0.0497662434256
3760000 75397 3756 0.0498163056886
3765000 75503 3761 0.0498125902282
3770000 75612 3765 0.0497936835423
3775000 75706 3770 0.049797902412
3780000 75807 3771 0.0497447465274
3785000 75930 3776 0.049730014487
3790000 76026 3781 0.0497329860837
3795000 76130 3787 0.0497438591882
3800000 76247 3793 0.0497462195234
3805000 76330 3795 0.0497183283113
3810000 76426 3798 0.0496951299296
3815000 76519 3802 0.0496870058417
3820000 76610 3806 0.0496801984075
3825000 76701 3807 0.0496342942074
3830000 76824 3817 0.0496849942726
3835000 76920 3818 0.0496359854394
3840000 77019 3822 0.049624118724
3845000 77107 3828 0.0496452980923
3850000 77228 3841 0.0497358471021
3855000 77320 3847 0.0497542679772
3860000 77424 3853 0.0497649307708
3865000 77509 3856 0.0497490613993
3870000 77614 3866 0.0498106011802
3875000 77690 3867 0.0497747457845
3880000 77775 3874 0.0498103503697
3885000 77863 3876 0.0497797413406
3890000 77969 3877 0.0497248906617
3895000 78072 3883 0.0497361409981
3900000 78183 3886 0.0497038998248
3905000 78275 3887 0.0496582561482
3910000 78371 3891 0.0496484669074
3915000 78468 3896 0.0496508130703
3920000 78568 3898 0.049613074025
3925000 78669 3905 0.0496383581843
3930000 78768 3908 0.0496140564696
3935000 78872 3913 0.0496120296176
3940000 79003 3920 0.0496183689227
3945000 79115 3926 0.0496239651141
3950000 79212 3933 0.0496515679443
3955000 79292 3937 0.0496519194875
3960000 79394 3942 0.0496511071366
3965000 79500 3946 0.0496352201258
3970000 79587 3953 0.0496689157777
3975000 79672 3959 0.0496912340596
3980000 79778 3972 0.04978816215
3985000 79874 3977 0.0497909207001
3990000 79965 3982 0.0497967860939
3995000 80055 3984 0.0497657860221
4000000 80147 3986 0.0497336144834
4005000 80246 3991 0.0497345662089
4010000 80343 3998 0.0497616469388
4015000 80452 4003 0.0497563764729
4020000 80554 4007 0.0497430295206
4025000 80664 4012 0.0497371813944
4030000 80763 4018 0.0497505045627
4035000 80868 4019 0.04969827373
4040000 80963 4023 0.0496893642775
4045000 81047 4029 0.0497118955668
4050000 81150 4035 0.0497227356747
4055000 81256 4043 0.0497563256867
4060000 81350 4048 0.0497602950215
4065000 81456 4053 0.0497569239835
4070000 81559 4060 0.0497799139273
4075000 81653 4065 0.0497838413775
4080000 81744 4070 0.0497895870033
4085000 81851 4078 0.049822237969
4090000 81946 4083 0.0498254948381
4095000 82029 4089 0.0498482244084
4100000 82125 4091 0.0498143074581
4105000 82223 4098 0.0498400690804
4110000 82313 4103 0.0498463183215
4115000 82417 4107 0.0498319521458
4120000 82521 4110 0.0498055040535
4125000 82626 4118 0.0498390337182
4130000 82712 4124 0.0498597543283
4135000 82805 4127 0.0498399855081
4140000 82910 4131 0.0498251115668
4145000 82988 4136 0.0498385308719
4150000 83084 4141 0.0498411246449
4155000 83178 4143 0.0498088436846
4160000 83275 4144 0.0497628339838
4165000 83387 4148 0.0497439648866
4170000 83487 4154 0.049756249476
4175000 83570 4158 0.0497546966615
4180000 83675 4160 0.0497161637287
4185000 83791 4170 0.0497666813858
4190000 83905 4175 0.0497586556224
4195000 83997 4180 0.0497636820363
4200000 84100 4185 0.0497621878716
4205000 84183 4193 0.049808156041
4210000 84288 4198 0.0498054290053
4215000 84380 4204 0.0498222327566
4220000 84477 4208 0.049812374966
4225000 84579 4215 0.0498350654418
4230000 84675 4223 0.0498730439917
4235000 84766 4229 0.0498902861997
4240000 84865 4233 0.0498792199375
4245000 84970 4237 0.0498646581146
4250000 85067 4245 0.0499018420774
4255000 85159 4251 0.0499183879566
4260000 85254 4257 0.049933140967
4265000 85356 4264 0.0499554805755
4270000 85468 4273 0.0499953198858
4275000 85553 4277 0.0499924023705
4280000 85659 4280 0.0499655611203
4285000 85760 4283 0.0499416977612
4290000 85861 4287 0.0499295372754
4295000 85963 4290 0.0499051917686
4300000 86053 4293 0.0498878598073
4305000 86136 4297 0.0498862264326
4310000 86235 4306 0.0499333217371
4315000 86326 4310 0.049927020828
4320000 86421 4311 0.0498837088208
4325000 86520 4316 0.0498844197873
4330000 86626 4321 0.0498810980537
4335000 86726 4327 0.0498927657219
4340000 86823 4331 0.0498830954931
4345000 86940 4335 0.049861973775
4350000 87038 4340 0.0498632781084
4355000 87133 4342 0.0498318662275
4360000 87227 4342 0.0497781650177
4365000 87316 4348 0.0497961427459
4370000 87417 4351 0.0497729274626
4375000 87515 4356 0.0497743244015
4380000 87633 4361 0.0497643581756
4385000 87728 4366 0.0497674630677
4390000 87820 4369 0.0497494875882
4395000 87918 4374 0.0497509042517
4400000 88012 4381 0.049777303095
4405000 88120 4387 0.0497843849296
4410000 88224 4393 0.0497937069278
4415000 88326 4396 0.049770169599
4420000 88422 4402 0.0497839904096
4425000 88517 4405 0.0497644520262
4430000 88630 4415 0.049813832788
4435000 88724 4420 0.049817411298
4440000 88833 4424 0.0498013125753
4445000 88938 4432 0.0498324675617
4450000 89032 4433 0.049791086351
4455000 89129 4438 0.0497929966678
4460000 89217 4441 0.0497775087707
4465000 89311 4449 0.0498146924791
4470000 89406 4452 0.0497953157506
4475000 89516 4456 0.049778810492
4480000 89616 4461 0.0497790573112
4485000 89709 4463 0.0497497464023
4490000 89809 4467 0.0497388903117
4495000 89918 4472 0.0497342022732
4500000 90004 4475 0.0497200124439
4505000 90098 4477 0.0496903371884
4510000 90197 4481 0.0496801445724
4515000 90296 4485 0.0496699743067
4520000 90377 4492 0.0497029111389
4525000 90481 4501 0.0497452503841
4530000 90586 4508 0.0497648643278
4535000 90689 4514 0.0497745040744
4540000 90781 4517 0.0497571077648
4545000 90889 4521 0.0497419929804
4550000 91003 4525 0.0497236354845
4555000 91117 4532 0.0497382486254
4560000 91202 4538 0.0497576807526
4565000 91302 4543 0.0497579461567
4570000 91414 4550 0.0497735576608
4575000 91510 4552 0.0497431974648
4580000 91615 4555 0.0497189324892
4585000 91708 4558 0.0497012256292
4590000 91806 4563 0.0497026338148
4595000 91928 4572 0.0497345748847
4600000 92021 4575 0.0497169124439
4605000 92121 4578 0.0496955091673
4610000 92234 4586 0.0497213608864
4615000 92326 4590 0.0497151398306
4620000 92417 4590 0.0496661869569
4625000 92517 4600 0.0497205918912
4630000 92619 4603 0.0496982260659
4635000 92716 4611 0.049732516502
4640000 92817 4615 0.0497214949848
4645000 92926 4617 0.049684695349
4650000 93024 4621 0.0496753525972
4655000 93120 4626 0.0496778350515
4660000 93213 4630 0.0496711832041
4665000 93312 4634 0.049661351166
4670000 93422 4636 0.0496242855002
4675000 93505 4638 0.0496016255815
4680000 93611 4647 0.0496416019485
4685000 93702 4650 0.049625408209
4690000 93816 4658 0.0496503794662
4695000 93905 4662 0.0496459187477
4700000 94003 4663 0.0496047998468
4705000 94098 4670 0.0496291100767
4710000 94185 4673 0.0496151191803
4715000 94298 4676 0.0495874779953
4720000 94401 4679 0.0495651529115
4725000 94511 4682 0.0495392070764
4730000 94613 4688 0.0495492162811
4735000 94706 4695 0.0495744725783
4740000 94794 4699 0.0495706479313
4745000 94912 4705 0.0495722353338
4750000 95024 4709 0.0495559016669
4755000 95129 4720 0.0496168360857
4760000 95217 4726 0.0496339939297
4765000 95305 4733 0.0496616127171
4770000 95394 4736 0.0496467283058
4775000 95494 4741 0.049647098247
4780000 95576 4745 0.0496463547334
4785000 95669 4749 0.0496399042532
4790000 95761 4753 0.0496339846075
4795000 95865 4758 0.0496322954154
4800000 95960 4764 0.0496456857024
4805000 96070 4771 0.0496617050068
4810000 96180 4782 0.0497192763568
4815000 96283 4790 0.0497491769056
4820000 96383 4795 0.0497494371414
4825000 96486 4802 0.0497688783865
4830000 96585 4805 0.0497489258166
4835000 96675 4808 0.0497336436514
4840000 96777 4815 0.0497535571468
4845000 96871 4818 0.0497362471741
4850000 96980 4821 0.0497112806764
4855000 97096 4830 0.0497445826811
4860000 97184 4836 0.0497612775766
4865000 97290 4839 0.0497378970089
4870000 97395 4843 0.0497253452436
4875000 97500 4849 0.0497333333333
4880000 97597 4856 0.0497556277345
4885000 97716 4857 0.0497052683286
4890000 97820 4864 0.0497239828256
4895000 97895 4868 0.0497267480464
4900000 97995 4873 0.0497270268891
4905000 98079 4878 0.0497354173676
4910000 98189 4884 0.0497408059966
4915000 98309 4888 0.0497207783621
4920000 98397 4889 0.0496864741811
4925000 98500 4895 0.0496954314721
4930000 98607 4899 0.0496820712525
4935000 98707 4903 0.0496722623522
4940000 98799 4907 0.0496664946001
4945000 98890 4910 0.0496511275154
4950000 98993 4918 0.0496802804239
4955000 99099 4924 0.0496876860513
4960000 99196 4930 0.0496995846607
4965000 99269 4932 0.0496831840756
4970000 99369 4937 0.0496835029033
4975000 99474 4939 0.0496511651286
4980000 99563 4942 0.0496369133112
4985000 99668 4944 0.0496046875627
4990000 99782 4950 0.0496081457578
4995000 99872 4952 0.0495834668376
5000000 99975 4957 0.0495823955989
Total runtime: 8569266 ms
Simulation started at: 2015-02-13 15:03:17
Input file: sampleData.txt
Policy: Softmax
Lines Evaluations Clicks CTR 
5000 106 5 0.0471698113208
10000 197 8 0.0406091370558
15000 290 10 0.0344827586207
20000 379 12 0.0316622691293
25000 478 17 0.0355648535565
30000 584 21 0.0359589041096
35000 670 23 0.034328358209
40000 786 27 0.0343511450382
45000 879 32 0.0364050056883
50000 967 35 0.0361944157187
55000 1054 39 0.0370018975332
60000 1154 42 0.0363951473137
65000 1252 44 0.0351437699681
70000 1353 47 0.0347376201035
75000 1447 57 0.039391845197
80000 1547 62 0.0400775694893
85000 1637 63 0.038485033598
90000 1738 66 0.0379746835443
95000 1831 67 0.0365920262152
100000 1928 70 0.0363070539419
105000 2024 72 0.0355731225296
110000 2128 80 0.0375939849624
115000 2230 94 0.0421524663677
120000 2320 100 0.0431034482759
125000 2426 104 0.042868920033
130000 2528 105 0.0415348101266
135000 2625 111 0.0422857142857
140000 2725 115 0.0422018348624
145000 2817 117 0.0415335463259
150000 2928 122 0.0416666666667
155000 3028 129 0.0426023778071
160000 3144 132 0.0419847328244
165000 3256 138 0.0423832923833
170000 3357 139 0.0414060172773
175000 3459 144 0.0416305290546
180000 3559 154 0.0432705816241
185000 3666 155 0.0422804146208
190000 3765 157 0.0416998671979
195000 3869 167 0.0431636081675
200000 3968 171 0.0430947580645
205000 4072 174 0.0427308447937
210000 4178 176 0.0421254188607
215000 4265 179 0.0419695193435
220000 4361 182 0.0417335473515
225000 4453 188 0.0422187289468
230000 4573 195 0.0426415919528
235000 4678 206 0.0440359127832
240000 4781 212 0.0443421878268
245000 4879 214 0.0438614470178
250000 4982 223 0.0447611401044
255000 5077 227 0.044711443766
260000 5176 234 0.0452086553323
265000 5275 237 0.0449289099526
270000 5373 241 0.0448538991253
275000 5469 250 0.0457121960139
280000 5561 254 0.0456752382665
285000 5660 257 0.045406360424
290000 5759 263 0.0456676506338
295000 5854 270 0.0461223095319
300000 5948 275 0.0462340282448
305000 6055 281 0.0464079273328
310000 6154 282 0.0458238544036
315000 6254 286 0.0457307323313
320000 6343 294 0.0463503074255
325000 6442 299 0.0464141570941
330000 6549 302 0.0461139105207
335000 6637 309 0.0465571794485
340000 6731 316 0.0469469618185
345000 6810 320 0.0469897209985
350000 6895 322 0.0467005076142
355000 6977 329 0.0471549376523
360000 7084 333 0.0470073404856
365000 7182 345 0.0480367585631
370000 7271 352 0.0484114977307
375000 7378 354 0.0479804825156
380000 7465 358 0.0479571332887
385000 7568 365 0.0482293868922
390000 7657 370 0.0483217970485
395000 7754 372 0.0479752385865
400000 7846 382 0.0486872291614
405000 7941 390 0.0491122024934
410000 8043 396 0.0492353599403
415000 8134 400 0.0491762970248
420000 8246 404 0.0489934513704
425000 8359 410 0.0490489292978
430000 8467 414 0.0488957127672
435000 8554 417 0.0487491232172
440000 8653 420 0.0485380792789
445000 8764 426 0.0486079415792
450000 8865 435 0.0490693739425
455000 8978 439 0.0488973045222
460000 9070 443 0.048842337376
465000 9166 447 0.0487671830679
470000 9270 453 0.0488673139159
475000 9376 459 0.048954778157
480000 9481 463 0.0488345111275
485000 9570 468 0.0489028213166
490000 9672 473 0.0489040529363
495000 9773 474 0.0485009720659
500000 9864 479 0.0485604217356
505000 9970 483 0.048445336008
510000 10066 485 0.0481819988079
515000 10159 488 0.0480362240378
520000 10247 493 0.0481116424319
525000 10341 497 0.0480611159462
530000 10456 505 0.0482976281561
535000 10543 512 0.0485630276013
540000 10649 515 0.0483613484834
545000 10749 521 0.0484696250814
550000 10855 528 0.0486411791801
555000 10964 533 0.0486136446552
560000 11070 542 0.0489611562782
565000 11174 546 0.0488634329694
570000 11274 551 0.0488735142806
575000 11378 559 0.0491298998066
580000 11474 563 0.049067456859
585000 11582 567 0.0489552754274
590000 11681 572 0.0489684102388
595000 11765 575 0.0488737781555
600000 11879 583 0.0490782052361
605000 11981 588 0.0490777063684
610000 12081 591 0.048919791408
615000 12184 594 0.0487524622456
620000 12289 597 0.048580030922
625000 12371 599 0.0484196912133
630000 12464 604 0.048459563543
635000 12549 606 0.0482907004542
640000 12659 609 0.048108065408
645000 12754 612 0.0479849458993
650000 12850 620 0.0482490272374
655000 12953 623 0.0480969659538
660000 13034 629 0.0482584011048
665000 13157 635 0.0482632819032
670000 13255 641 0.0483591097699
675000 13344 646 0.0484112709832
680000 13460 652 0.0484398216939
685000 13561 657 0.0484477545904
690000 13677 665 0.0486217737808
695000 13779 670 0.0486247187749
700000 13882 674 0.0485520818326
705000 13986 681 0.0486915486915
710000 14092 688 0.0488220266818
715000 14206 693 0.0487822047022
720000 14317 697 0.0486833833904
725000 14410 701 0.0486467730743
730000 14499 704 0.0485550727636
735000 14595 711 0.0487153134635
740000 14696 716 0.0487207403375
745000 14801 719 0.0485777987974
750000 14917 726 0.0486693034793
755000 15018 730 0.0486083366627
760000 15103 736 0.0487320399921
765000 15215 739 0.0485704896484
770000 15295 741 0.0484472049689
775000 15380 741 0.0481794538362
780000 15469 743 0.0480315469649
785000 15547 750 0.0482408181643
790000 15655 755 0.0482274033855
795000 15751 759 0.048187416672
800000 15858 762 0.048051456678
805000 15961 770 0.0482425913163
810000 16054 773 0.048149993771
815000 16167 780 0.0482464279087
820000 16271 784 0.0481838854404
825000 16387 787 0.0480258741685
830000 16480 793 0.0481189320388
835000 16579 797 0.0480728632608
840000 16669 800 0.0479932809407
845000 16754 803 0.0479288528113
850000 16849 804 0.0477179654579
855000 16966 811 0.0478014853236
860000 17058 816 0.047836792121
865000 17162 824 0.0480130520918
870000 17263 827 0.0479059259688
875000 17360 834 0.0480414746544
880000 17468 837 0.0479161896038
885000 17568 846 0.0481557377049
890000 17665 850 0.0481177469573
895000 17774 854 0.0480477101384
900000 17878 858 0.0479919454078
905000 17969 861 0.0479158550838
910000 18071 865 0.047866747828
915000 18174 868 0.0477605370309
920000 18255 871 0.0477129553547
925000 18342 873 0.0475956820412
930000 18438 878 0.047619047619
935000 18545 882 0.0475599892154
940000 18654 891 0.0477645545191
945000 18766 896 0.0477459234786
950000 18880 900 0.0476694915254
955000 18969 908 0.0478675734092
960000 19082 914 0.0478985431297
965000 19181 919 0.0479119962463
970000 19278 921 0.0477746654217
975000 19387 929 0.0479187084129
980000 19487 934 0.0479293888233
985000 19593 941 0.048027356709
990000 19707 946 0.048003247577
995000 19820 952 0.0480322906155
1000000 19910 954 0.0479156202913
1005000 20014 957 0.0478165284301
1010000 20117 967 0.0480687975344
1015000 20215 972 0.048083106604
1020000 20302 976 0.0480740813713
1025000 20396 980 0.0480486369876
1030000 20492 985 0.0480675385516
1035000 20587 989 0.0480400252587
1040000 20668 998 0.0482872072769
1045000 20755 1006 0.048470248133
1050000 20849 1010 0.048443570435
1055000 20959 1016 0.0484755952097
1060000 21063 1022 0.0485211033566
1065000 21181 1028 0.0485340635475
1070000 21263 1029 0.0483939237173
1075000 21372 1036 0.0484746397155
1080000 21464 1039 0.0484066343645
1085000 21560 1043 0.0483766233766
1090000 21663 1046 0.0482850944006
1095000 21780 1053 0.048347107438
1100000 21887 1059 0.0483848860054
1105000 21993 1062 0.0482880916655
1110000 22094 1066 0.0482483932289
1115000 22208 1073 0.0483159221902
1120000 22301 1075 0.0482041164073
1125000 22413 1079 0.0481417034757
1130000 22524 1086 0.0482152370804
1135000 22628 1088 0.0480820222733
1140000 22729 1092 0.0480443486295
1145000 22819 1095 0.0479863271835
1150000 22919 1101 0.0480387451459
1155000 23024 1102 0.0478630993746
1160000 23147 1105 0.047738367823
1165000 23256 1112 0.0478156174751
1170000 23376 1119 0.0478696098563
1175000 23490 1121 0.0477224350788
1180000 23597 1127 0.0477603085138
1185000 23703 1128 0.0475889127958
1190000 23798 1130 0.0474829817632
1195000 23888 1135 0.0475133958473
1200000 23991 1141 0.0475595014797
1205000 24081 1147 0.0476309123375
1210000 24181 1149 0.0475166453
1215000 24289 1154 0.0475112190704
1220000 24386 1156 0.0474042483392
1225000 24489 1163 0.0474907101147
1230000 24584 1165 0.0473885453954
1235000 24683 1173 0.0475225863955
1240000 24804 1179 0.0475326560232
1245000 24901 1182 0.0474679731738
1250000 24993 1185 0.0474132757172
1255000 25100 1187 0.0472908366534
1260000 25218 1193 0.047307478785
1265000 25329 1200 0.0473765249319
1270000 25415 1203 0.0473342514263
1275000 25503 1209 0.0474061875074
1280000 25598 1211 0.0473083834675
1285000 25700 1213 0.0471984435798
1290000 25818 1217 0.047137655899
1295000 25923 1221 0.0471010299734
1300000 26011 1222 0.0469801237938
1305000 26118 1229 0.0470556704189
1310000 26220 1233 0.0470251716247
1315000 26309 1238 0.0470561404842
1320000 26393 1242 0.0470579320274
1325000 26486 1249 0.0471569885977
1330000 26584 1252 0.0470959975925
1335000 26687 1254 0.0469891707573
1340000 26784 1258 0.046968339307
1345000 26880 1262 0.0469494047619
1350000 26989 1267 0.0469450516877
1355000 27088 1272 0.0469580626108
1360000 27204 1275 0.0468681076312
1365000 27305 1279 0.0468412378685
1370000 27409 1282 0.0467729577876
1375000 27500 1285 0.0467272727273
1380000 27621 1292 0.0467760037653
1385000 27717 1298 0.0468304650575
1390000 27802 1304 0.0469031004964
1395000 27898 1306 0.046813391641
1400000 28004 1312 0.0468504499357
1405000 28095 1315 0.0468054814024
1410000 28195 1322 0.0468877460543
1415000 28280 1331 0.0470650636492
1420000 28392 1337 0.047090729783
1425000 28496 1346 0.047234699607
1430000 28590 1350 0.0472193074502
1435000 28700 1354 0.0471777003484
1440000 28812 1360 0.0472025544912
1445000 28899 1362 0.0471296584657
1450000 28994 1366 0.0471131958336
1455000 29090 1372 0.0471639738742
1460000 29199 1381 0.0472961402788
1465000 29317 1386 0.0472763243169
1470000 29412 1388 0.047191622467
1475000 29510 1396 0.0473059979668
1480000 29595 1404 0.0474404460213
1485000 29691 1408 0.0474217776431
1490000 29786 1417 0.0475726851541
1495000 29886 1420 0.0475138861005
1500000 29973 1424 0.0475094251493
1505000 30058 1429 0.0475414199215
1510000 30175 1435 0.047555923778
1515000 30289 1443 0.0476410578098
1520000 30378 1446 0.0476002370136
1525000 30474 1449 0.047548730065
1530000 30565 1452 0.0475053165385
1535000 30647 1459 0.0476066172872
1540000 30772 1463 0.0475432211101
1545000 30871 1465 0.0474555407988
1550000 30944 1467 0.047408221303
1555000 31062 1474 0.0474534801365
1560000 31150 1476 0.0473836276083
1565000 31263 1480 0.0473403064325
1570000 31349 1489 0.0474975278318
1575000 31436 1493 0.0474933197608
1580000 31532 1499 0.0475390079919
1585000 31655 1503 0.0474806507661
1590000 31761 1513 0.047637039136
1595000 31867 1521 0.0477296262591
1600000 31968 1526 0.0477352352352
1605000 32078 1529 0.0476650664006
1610000 32155 1533 0.0476753226559
1615000 32266 1541 0.0477592512242
1620000 32362 1548 0.0478338792411
1625000 32456 1553 0.0478493961055
1630000 32554 1558 0.0478589420655
1635000 32646 1565 0.0479384916988
1640000 32744 1566 0.047825555827
1645000 32848 1575 0.0479481246956
1650000 32932 1579 0.0479472853152
1655000 33021 1583 0.0479391902123
1660000 33140 1588 0.047917923959
1665000 33240 1590 0.0478339350181
1670000 33335 1598 0.0479376031198
1675000 33444 1603 0.0479308695132
1680000 33539 1607 0.0479143683473
1685000 33661 1614 0.0479486646267
1690000 33746 1622 0.0480649558466
1695000 33835 1626 0.0480567459731
1700000 33952 1634 0.0481267672008
1705000 34045 1639 0.0481421647819
1710000 34161 1643 0.0480957817394
1715000 34273 1648 0.0480844980013
1720000 34386 1652 0.0480428081196
1725000 34484 1658 0.0480802691103
1730000 34583 1662 0.0480582945378
1735000 34683 1666 0.0480350604042
1740000 34773 1669 0.0479970091738
1745000 34889 1677 0.0480667259021
1750000 34978 1682 0.0480873692035
1755000 35071 1688 0.0481309343902
1760000 35169 1694 0.0481674201712
1765000 35282 1699 0.0481548665042
1770000 35395 1706 0.0481988981495
1775000 35506 1714 0.0482735312342
1780000 35597 1716 0.0482063095205
1785000 35698 1723 0.0482660093002
1790000 35801 1729 0.0482947403704
1795000 35896 1731 0.0482226431914
1800000 35998 1735 0.0481971220623
1805000 36104 1737 0.0481110126302
1810000 36219 1743 0.0481239128634
1815000 36306 1748 0.0481463119044
1820000 36421 1751 0.0480766590703
1825000 36522 1758 0.0481353704616
1830000 36621 1764 0.0481690833129
1835000 36723 1769 0.048171445688
1840000 36810 1775 0.0482205922304
1845000 36901 1777 0.0481558765345
1850000 37017 1783 0.0481670583786
1855000 37123 1790 0.0482180858228
1860000 37239 1797 0.0482558607911
1865000 37345 1802 0.0482527781497
1870000 37439 1812 0.0483987285985
1875000 37525 1814 0.0483411059294
1880000 37621 1819 0.0483506552192
1885000 37714 1820 0.048257941348
1890000 37819 1826 0.0482826092705
1895000 37927 1830 0.0482505866533
1900000 38034 1833 0.0481937214072
1905000 38147 1838 0.0481820326631
1910000 38245 1845 0.0482416002092
1915000 38335 1847 0.0481805138907
1920000 38434 1853 0.0482125201644
1925000 38536 1855 0.0481368071414
1930000 38623 1861 0.0481837247236
1935000 38718 1865 0.0481688103724
1940000 38807 1871 0.0482129512717
1945000 38891 1877 0.0482630942892
1950000 38975 1878 0.0481847338037
1955000 39086 1885 0.0482269866448
1960000 39190 1888 0.0481755549885
1965000 39286 1891 0.0481341953877
1970000 39406 1894 0.0480637466376
1975000 39517 1901 0.0481058784827
1980000 39614 1905 0.0480890594234
1985000 39706 1908 0.0480531909535
1990000 39808 1910 0.0479803054662
1995000 39926 1915 0.0479637329059
2000000 40026 1919 0.0479438365063
2005000 40122 1927 0.0480285130352
2010000 40234 1931 0.0479942337327
2015000 40329 1938 0.0480547496839
2020000 40437 1945 0.0480995128224
2025000 40516 1949 0.048104452562
