Simulation started at: 2015-02-07 16:27:08
Input file: sampleData.txt
Policy: Random Policy
Lines Evaluations Clicks CTR 
1000 19 3 0.157894736842
1500 29 3 0.103448275862
2000 38 4 0.105263157895
2500 46 5 0.108695652174
3000 56 7 0.125
3500 66 7 0.106060606061
4000 78 8 0.102564102564
4500 86 9 0.104651162791
5000 99 10 0.10101010101
5500 114 10 0.0877192982456
6000 124 10 0.0806451612903
6500 133 10 0.0751879699248
7000 141 11 0.0780141843972
7500 152 11 0.0723684210526
8000 165 11 0.0666666666667
8500 176 11 0.0625
9000 184 11 0.0597826086957
9500 193 11 0.0569948186528
10000 200 11 0.055
10500 210 12 0.0571428571429
11000 224 12 0.0535714285714
11500 230 12 0.0521739130435
12000 240 12 0.05
12500 246 12 0.0487804878049
13000 250 12 0.048
13500 263 13 0.0494296577947
14000 269 13 0.0483271375465
Simulation started at: 2015-02-13 12:40:28
Input file: sampleData.txt
Policy: Softmax
Lines Evaluations Clicks CTR 
5000 102 3 0.0294117647059
10000 199 5 0.0251256281407
15000 314 8 0.0254777070064
20000 413 14 0.0338983050847
25000 502 15 0.0298804780876
30000 598 21 0.0351170568562
35000 716 28 0.0391061452514
40000 821 32 0.0389768574909
45000 925 37 0.04
50000 1010 44 0.0435643564356
55000 1103 49 0.0444242973708
60000 1219 55 0.045118949959
65000 1307 56 0.0428462127008
70000 1424 63 0.0442415730337
75000 1508 75 0.0497347480106
80000 1610 82 0.0509316770186
85000 1708 93 0.0544496487119
90000 1808 101 0.0558628318584
95000 1903 106 0.0557015239096
100000 2004 111 0.0553892215569
105000 2111 115 0.0544765513974
110000 2201 118 0.0536119945479
115000 2276 122 0.0536028119508
120000 2366 123 0.0519864750634
125000 2488 130 0.0522508038585
130000 2569 135 0.0525496302063
135000 2669 139 0.0520794304983
140000 2771 144 0.0519667989895
145000 2867 147 0.0512731077782
150000 2975 152 0.0510924369748
155000 3072 155 0.0504557291667
160000 3168 161 0.0508207070707
165000 3273 165 0.0504124656279
170000 3372 168 0.0498220640569
