Key,NumberofRuntimeValues,MeanRuntime,MinRuntime,MaxRuntime,VarRuntime,StdevRuntime,AllRuntimes
EXP30.5,25,2928.61784,2854.685,3202.296,7614.48,87.26,3202.296,3040.218,3015.816,3009.236,2874.915,2944.389,2896.878,2862.653,2857.601,2912.052,2910.591,2899.601,2887.517,2880.611,2859.684,2860.169,2859.465,2858.257,2931.794,2854.685,2900.031,2888.665,2985.419,3107.137,2915.766
EnsembleEAnnealing,25,5322.28604,4795.96,7977.522,376856.45,613.89,5157.853,5670.84,5168.106,5003.845,5048.92,5027.365,5394.012,5387.681,5600.233,5634.256,5528.287,5222.219,5372.017,4976.695,4819.366,4795.96,4826.688,4816.534,7977.522,5218.045,5392.212,5198.484,5013.579,5281.405,5525.027
EnsembleRandom,25,4877.38592,4679.259,5445.995,44005.71,209.78,4945.995,4829.21,4788.273,4862.349,4774.322,4679.333,4713.703,4805.671,4679.259,4721.186,4810.512,4877.587,4781.689,4734.62,5058.604,5445.995,5197.461,5108.529,4949.111,5371.411,4915.201,4748.566,4706.521,4723.445,4706.095
EnsembleSoftmax,25,4659.98032,3011.431,7625.394,1798898.74,1341.23,4711.929,7625.394,5323.255,4467.119,3050.676,3996.234,3216.334,3320.785,5992.989,3011.431,4760.138,4036.638,4446.858,5573.043,6733.859,7419.515,3025.55,3049.422,3815.405,5735.495,4746.597,4565.699,5796.177,4252.901,3826.065
Naive3,24,7464.78225,6973.512,8453.838,121556.39,348.65,7406.274,7400.441,7527.741,7730.614,7749.293,7846.294,7214.916,7321.042,7661.489,7364.804,7025.69,7253.551,7172.246,6973.512,8453.838,7502.867,7397.18,7213.908,7105.938,7103.102,7277.506,7960.615,7896.233,7595.68
Random,27,2030.34611111111,1220.476,2312.701,91474.95,302.45,1242.375,1220.476,1232.204,2242.229,2152.363,2252.685,2179.437,2305.579,2240.082,2202.28,2082.596,2016.807,2044.119,2055.19,2019.969,2034.189,2033.523,2022.771,2033.452,2013.605,2031.609,2312.701,2133.922,2156.866,2171.222,2191.99,2195.104
Softmax0.1,25,2819.77464,2727.853,3127.783,7661.89,87.53,3127.783,2983.598,2941.937,2826.91,2810.061,2803.396,2798.289,2741.22,2749.3,2808.093,2775.476,2790.061,2804.683,2804.687,2727.853,2735.361,2905.702,2760.98,2807.587,2772.124,2819.685,2783.856,2779.676,2812.288,2823.76
eAnnealing,27,3420.76874074074,3133.954,5912.015,281243.12,530.32,3492.04,3415.704,3364.395,3336.691,3177.821,3229.571,3270.544,3179.656,3134.348,3178.742,3193.091,3143.149,3164.216,3193.633,3133.954,3136.807,3182.799,5912.015,3510.451,3918.231,3464.534,3506.457,3517.683,3287.293,3383.365,3538.569,3394.997
eGreedy0.1,25,2934.34668,2749.096,3482.668,50630.35,225.01,3148.75,3171.031,3198.709,3345.301,3362.33,3482.668,3156.288,2875.665,2759.558,2840.008,2809.672,2806.927,2791.759,2796.97,2791.019,2766.445,2848.361,2952.498,2749.096,2811.309,2799.448,2767.576,2780.589,2773.678,2773.012
