TimeBin,eGreedy0.1,EnsembleRandomUpdateAll,eAnnealing,EXP30.5,EnsembleEAnnealingUpdateAll,Softmax0.1,Naive3,UCB1,Random,
0,0.041043507829514,0.0397334336445429,0.0412313135566824,0.0379203461267088,0.0390239978400371,0.0395256714330065,0.0422556154537278,0.0421255473481571,0.0353751382606192,
10,0.0427632831894157,0.039103999113833,0.0430975646014922,0.0382883834363981,0.0390825315279558,0.0379981990941662,0.0425218556948026,0.0365761271557114,0.0347823931187876,
20,0.04352562314313,0.0386575112514295,0.0446964658902452,0.0388873461858988,0.0407811741305261,0.0371477240648944,0.0429250303969075,0.0368804048861222,0.0345384530031423,
30,0.0453980655855785,0.0383116576940698,0.0466824130404604,0.0393942655854317,0.0421983953995655,0.0376143258430808,0.0441567670466431,0.0372863413640682,0.0340557271771616,
40,0.0460593456597166,0.0384231790275166,0.0479237600235585,0.039879590268941,0.0427568444122966,0.0377447370170793,0.0448612869105081,0.0360233960729042,0.0329570047799138,
50,0.0459181929587405,0.0392238992871592,0.0476065100971059,0.0398124682574871,0.0438189717337263,0.0372782716686641,0.0454364494730709,0.0358801942841359,0.0319119061057338,
60,0.0452970579243816,0.0400706039132673,0.0469824010098518,0.0394283665493318,0.0453603991981098,0.0364175142475864,0.046072824051057,0.035306659216818,0.0318312117998582,
70,0.0440674404132974,0.0401205745849228,0.0462939286617874,0.0383614657052223,0.0468083686035008,0.0351875894851071,0.0467926234914154,0.0342553869400921,0.0319255883969772,
80,0.0434893835961837,0.0399407794470962,0.0450034858796333,0.0379268589716918,0.0470830320034004,0.0351501514442327,0.0477080547162222,0.0330180562814633,0.0320436136470467,
90,0.0437989162559424,0.0396852124404313,0.044522940288716,0.038233966409988,0.0471436061211048,0.0352311514189785,0.0480706499050879,0.0319688314592182,0.0319624636610812,
100,0.0444143991058861,0.0392569573490507,0.0450438643877173,0.0386018526282792,0.047128990351626,0.0354375802955112,0.0484298610350881,0.0314136349463094,0.0317599309870224,
110,0.0451948601036806,0.0389182482981096,0.0457042248049294,0.0387586829725935,0.0470329203792032,0.0357947839217041,0.0487320740999147,0.0313823459696045,0.0317847820675067,
120,0.0460366039156429,0.0384528328300191,0.0465254369324049,0.0389801720785155,0.0466907906501963,0.0359118446054931,0.0486315249638058,0.0315692270556253,0.0320362398610713,
130,0.0470858213356301,0.0377016068833394,0.047315592349799,0.0390565512739195,0.0461976254072067,0.0360207339866068,0.0484894708404247,0.0318473204648008,0.0322815958212598,
140,0.0483638484072463,0.0375897971958774,0.0482928559165028,0.0389475841794092,0.0454834481109734,0.0362073674290488,0.0481397347052063,0.0328050552358095,0.0326206099777118,
150,0.0498397022217636,0.0377406702887617,0.0493816788736348,0.0387804591713869,0.0448626218340049,0.0364039379485279,0.0477446789764941,0.0336341777004902,0.0330106687320619,
160,0.0510338769709832,0.037919006160294,0.0509477135111923,0.0386850876459018,0.0443483940626448,0.0364552678029386,0.0472648438641701,0.0338506795794404,0.0334584563350381,
170,0.0523290228952905,0.0380188929844457,0.0523991707179331,0.0386317050071559,0.0443887699911891,0.037256241691505,0.0466463042128431,0.0343253787405629,0.0339044785031707,
180,0.0537420810496133,0.0384585712476313,0.053570471085633,0.0384515195359457,0.0446042260769815,0.0378338079986233,0.0459487687487983,0.0353083581171508,0.0342806479126362,
190,0.0553523083743498,0.0389569932853079,0.0549521759125376,0.0382405866109193,0.0449216525907071,0.0389106289116934,0.0456048312011921,0.0365293185469645,0.0345676463166339,
200,0.0567400516587937,0.039489917586666,0.0564991844852423,0.0381249386539812,0.0452548282974274,0.0397092086349564,0.0453934470302567,0.0375358760944833,0.0347775640367777,
210,0.0579312011926475,0.0397103321795735,0.0580887731753403,0.0381443276916565,0.045688016805011,0.0405251206686122,0.0455480780753243,0.0384542549597097,0.0349664258741522,
220,0.0590351891983502,0.0400080989608614,0.0596998669103791,0.0382141038359933,0.0463020419231425,0.0410185126036945,0.045531526809233,0.0396738107321835,0.0350228630682215,
230,0.060129356786629,0.0406081852243,0.0610878264989505,0.0383366459436845,0.0467544045396064,0.0414849957515658,0.0456774249081237,0.0406316347242136,0.0348106680069762,
240,0.0610466502179302,0.0413193647038156,0.0624387528573611,0.0383696272809073,0.0473091226587207,0.042156838607162,0.0458634656166804,0.0414642336163847,0.0347518038467483,
250,0.0618940887487361,0.0419820114404769,0.063476944680259,0.0383898571738366,0.0479571016545987,0.0429936291168066,0.0460382902698927,0.0422906323313178,0.0348658260328339,
260,0.0625901702836463,0.0427390255769204,0.0641898290234379,0.0384741937430276,0.0483995989570738,0.0431896266737722,0.0465118256474465,0.042847416590882,0.0350205695882388,
270,0.0631230911174323,0.0433285272398473,0.0649718332222998,0.0385038632834138,0.0491242855044815,0.0435862068419433,0.0468831663049498,0.0435038814144808,0.0351781263310444,
280,0.0636745676044514,0.04406161176291,0.0657613829851246,0.0386429642879769,0.0499921055287366,0.0437127910302854,0.0472595846314975,0.0441853632243405,0.0352926426750946,
290,0.064050999812202,0.0447102813228241,0.0663515628244108,0.0387123813063461,0.05084804711923,0.0438022863559429,0.0477832282186097,0.0453872670110636,0.0353603359243168,
300,0.0643999214127696,0.0455373295848529,0.0667295052391026,0.0387974743712113,0.0517613881216342,0.043930427353656,0.0483056142226398,0.0466824199862657,0.0354445098878998,
310,0.0648080680572805,0.046314793813252,0.0668808346036458,0.0388432632624212,0.0525093994325777,0.0441832466306068,0.0487246723531151,0.0476871958291773,0.0355726746442562,
320,0.0650242029371845,0.0471721143050808,0.0671712934107492,0.0389176187323927,0.0531460282919758,0.0443576425686051,0.0493335756216925,0.0484034616475748,0.0357123818805544,
330,0.0650334712991811,0.0479715007203438,0.0672753938741208,0.0388605306123576,0.0540025773857855,0.0441014823371605,0.0499184904982183,0.0491566355153196,0.0358343579344594,
340,0.0650353688676729,0.0488372004505547,0.0675475893403142,0.0387274199546234,0.0547702441460011,0.0440172964089579,0.0506983970603624,0.049619646148432,0.0359454635198023,
350,0.0649207268479452,0.0495647061119217,0.0677619877539582,0.0388061667473179,0.0556494447186126,0.0439344176295054,0.0513695483427756,0.0499799989313973,0.0360137618972374,
360,0.0647828613224079,0.0501834574994057,0.0676960511191342,0.0390079391011375,0.0565524637434317,0.0439487790098136,0.0520994200692052,0.0503645383523948,0.0360822248243552,
370,0.0645699736635102,0.0508018012114979,0.0674608240867607,0.0391737941426069,0.0574688477425481,0.0445572548860592,0.0527394233938191,0.0505592345538191,0.0361035233743786,
380,0.0645619304993512,0.0514329149741716,0.0670116239254555,0.0394134778747597,0.0583540667529118,0.044680143173437,0.0532180927304578,0.0505966665803123,0.0361404441419974,
390,0.0645521370927783,0.0519880336382402,0.0666026533677363,0.0396938327391557,0.0591745343491189,0.0448582901223289,0.0540014181155686,0.0509235128673894,0.0362023046356339,
400,0.0646167750160093,0.0526730064861285,0.0664162087316258,0.0399532884291433,0.0600121026836029,0.0447001319806519,0.054320114834708,0.0515719044277306,0.0362253790886651,
410,0.0647537909679187,0.0532418948470083,0.0663009236241505,0.0402114295549998,0.0608128674238123,0.0449529070338264,0.0549589595677438,0.0521513080648141,0.0362298886339057,
420,0.0648748945005218,0.0537276799512278,0.0664013261214509,0.0405096074898544,0.0615721661642389,0.045420681864842,0.055640048999552,0.0522428523370813,0.0362103980366204,
430,0.064989235637671,0.054273955174191,0.0665498380203973,0.0407692695212681,0.0623006027799547,0.0453568222895775,0.0562863025429103,0.0521574039141279,0.0362115218885857,
440,0.0652006751039286,0.0547625910080513,0.0666214151980051,0.0409892367930663,0.0629575795609681,0.0454369965762249,0.0568709921030014,0.0520622838528799,0.0362063814409696,
450,0.0653841503314637,0.0551375125989714,0.0667729161513075,0.0412334308992413,0.0634633530977026,0.0457665482337868,0.0575120526380009,0.0519824235288542,0.0362039143272721,
460,0.0655551644823635,0.0554684857019575,0.0669709094137774,0.04153298084999,0.0638094531283444,0.0462979365626095,0.0581481118620757,0.0519997293426925,0.0361733125015205,
470,0.0657110501101562,0.0557134456917793,0.0670956588252057,0.041839398458071,0.0643421012046795,0.0465871646766818,0.0588925577351787,0.0519506201799891,0.0361497171856331,
