t,Naive3,UCB1,Random,Softmax0.1,EnsembleEAnnealingUpdateAll,EnsembleRandomUpdateAll,EXP30.5,eAnnealing,eGreedy0.1,
95500,0.0018050878,0.0000000000,0.0006697965,0.0117211541,0.0017838451,,0.0010223576,0.0013326772,0.0017973879,
95600,0.0018034430,0.0000000000,0.0006730758,0.0117163621,0.0017758335,,0.0010255889,0.0013304786,0.0017982252,
95700,0.0018001804,0.0000000015,0.0006768337,0.0117191885,0.0017805030,,0.0010234027,0.0013236485,0.0017918857,
95800,0.0017885430,0.0000000000,0.0006747701,0.0117138795,0.0017716234,,0.0010175826,0.0013168286,0.0017826845,
95900,0.0017772974,0.0000000008,0.0006628361,0.0117096110,0.0017673475,,0.0010205625,0.0013003797,0.0017819304,
96000,0.0017681906,0.0000000000,0.0006646912,0.0117017284,0.0017573755,,0.0010257159,0.0012937879,0.0017747064,
96100,0.0017643044,0.0000000015,0.0006650683,0.0117017395,0.0017463145,,0.0010217244,0.0012867301,0.0017703381,
96200,0.0017480158,0.0000000017,0.0006648822,0.0117049491,0.0017315437,,0.0010125487,0.0012892362,0.0017679727,
96300,0.0017463296,0.0000000020,0.0006649463,0.0116976495,0.0017235654,,0.0010116072,0.0012887633,0.0017621061,
96400,0.0017329032,0.0000000015,0.0006632697,0.0116983313,0.0017217664,,0.0010154867,0.0012833163,0.0017613996,
96500,0.0017244892,0.0000000017,0.0006606867,0.0116936893,0.0017226002,,0.0010271171,0.0012866685,0.0017487169,
96600,0.0017169242,0.0000000000,0.0006616291,0.0116891560,0.0017202978,,0.0010254589,0.0012831287,0.0017473027,
96700,0.0017127736,0.0000000000,0.0006616852,0.0116830724,0.0017176514,,0.0010275255,0.0012782614,0.0017471278,
96800,0.0017135716,0.0000000020,0.0006593158,0.0116797062,0.0017181212,,0.0010244306,0.0012777454,0.0017457759,
96900,0.0017035941,0.0000000000,0.0006614382,0.0116758519,0.0017106364,,0.0010248728,0.0012663155,0.0017404342,
97000,0.0017081754,0.0000000000,0.0006560686,0.0116659167,0.0017034617,,0.0010239304,0.0012570442,0.0017369475,
97100,0.0017068047,0.0000000008,0.0006539533,0.0116575841,0.0016994455,,0.0010243420,0.0012625758,0.0017363708,
97200,0.0017105662,0.0000000011,0.0006528522,0.0116562100,0.0016897404,,0.0010187788,0.0012653397,0.0017370222,
97300,0.0017114286,0.0000000000,0.0006575411,0.0116520045,0.0016852523,,0.0010102792,0.0012695223,0.0017338072,
97400,0.0016882991,0.0000000000,0.0006544095,0.0116510396,0.0016896270,,0.0010060367,0.0012744727,0.0017305722,
97500,0.0016756405,0.0000000000,0.0006587439,0.0116503985,0.0016927574,,0.0009981044,0.0012747262,0.0017242585,
97600,0.0016714280,0.0000000008,0.0006595835,0.0116413588,0.0016921352,,0.0010060712,0.0012689243,0.0017228915,
97700,0.0016812343,0.0000000000,0.0006599818,0.0116388697,0.0016877773,,0.0010072645,0.0012614753,0.0017264283,
97800,0.0016928332,0.0000000000,0.0006647140,0.0116391171,0.0016791526,,0.0009983415,0.0012614707,0.0017255826,
97900,0.0016878246,0.0000000000,0.0006644458,0.0116282986,0.0016786699,,0.0009936125,0.0012637633,0.0017228988,
98000,0.0016843554,0.0000000000,0.0006610560,0.0116197920,0.0016760573,,0.0009944892,0.0012641977,0.0017129421,
98100,0.0016747921,0.0000000013,0.0006584592,0.0116187737,0.0016703587,,0.0009943353,0.0012607529,0.0017102004,
98200,0.0016792522,0.0000000000,0.0006602443,0.0116155247,0.0016760050,,0.0009958048,0.0012637440,0.0017087183,
98300,0.0016745257,0.0000000013,0.0006573031,0.0116062444,0.0016733535,,0.0009996740,0.0012577080,0.0017071856,
98400,0.0016729201,0.0000000000,0.0006567653,0.0116043160,0.0016588485,,0.0009990282,0.0012587314,0.0016982700,
98500,0.0016598067,0.0000000013,0.0006595084,0.0116015783,0.0016621215,,0.0009984196,0.0012517691,0.0016948176,
98600,0.0016547608,0.0000000013,0.0006530922,0.0115995044,0.0016614630,,0.0009989347,0.0012377312,0.0016880774,
98700,0.0016531944,0.0000000015,0.0006501818,0.0116012817,0.0016445716,,0.0009947068,0.0012246976,0.0016882904,
98800,0.0016479157,0.0000000000,0.0006499123,0.0116062971,0.0016314771,,0.0009930168,0.0012132750,0.0016796322,
98900,0.0016449472,0.0000000000,0.0006407549,0.0116127475,0.0016219464,,0.0009949341,0.0012174826,0.0016736052,
99000,0.0016458843,0.0000000000,0.0006389601,0.0116093213,0.0016200735,,0.0009886829,0.0012147208,0.0016700026,
99100,0.0016332488,0.0000000000,0.0006346767,0.0116007163,0.0016191732,,0.0009815999,0.0012235211,0.0016668593,
99200,0.0016193218,0.0000000000,0.0006394679,0.0116021290,0.0016283009,,0.0009801192,0.0012273190,0.0016514011,
99300,0.0016029932,0.0000000015,0.0006415470,0.0116023004,0.0016284261,,0.0009746868,0.0012303203,0.0016440769,
99400,0.0016013269,0.0000000011,0.0006463739,0.0116010425,0.0016268284,,0.0009698293,0.0012181721,0.0016504333,
99500,0.0016030133,0.0000000015,0.0006446564,0.0115961938,0.0016144177,,0.0009712216,0.0012169097,0.0016499248,
99600,0.0015989570,0.0000000000,0.0006416863,0.0115949985,0.0016075268,,0.0009690511,0.0012118210,0.0016399957,
99700,0.0016021326,0.0000000000,0.0006434551,0.0115999533,0.0016029786,,0.0009713858,0.0012100232,0.0016368898,
99800,0.0015957773,0.0000000013,0.0006442303,0.0115914654,0.0015978117,,0.0009731160,0.0012067286,0.0016358195,
99900,0.0015886352,0.0000000017,0.0006475583,0.0115840881,0.0016060100,,0.0009772328,0.0012017711,0.0016352764,
100000,0.0015822319,0.0000000000,0.0006493278,0.0115779536,0.0016015906,,0.0009775543,0.0012100244,0.0016298568,
100100,0.0015718541,0.0000000008,0.0006538455,0.0115683687,0.0016041322,,0.0009724593,0.0012098279,0.0016278917,
100200,0.0015717903,0.0000000000,0.0006536965,0.0115690863,0.0015994664,,0.0009750635,0.0012005808,0.0016227565,
100300,0.0015676148,0.0000000017,0.0006511015,0.0115676765,0.0015992717,,0.0009750359,0.0012001198,0.0016245387,
100400,0.0015742075,0.0000000000,0.0006535196,0.0115613402,0.0016000791,,0.0009704167,0.0011965197,0.0016212051,
100500,0.0015692721,0.0000000000,0.0006452178,0.0115543366,0.0016034652,,0.0009733437,0.0011989055,0.0016239005,
100600,0.0015676590,0.0000000000,0.0006426312,0.0115569203,0.0016028905,,0.0009729282,0.0011930707,0.0016212768,
100700,0.0015672097,0.0000000008,0.0006411084,0.0115521880,0.0016010435,,0.0009703662,0.0012001541,0.0016214002,
100800,0.0015637879,0.0000000013,0.0006411713,0.0115594586,0.0016061859,,0.0009714531,0.0011981697,0.0016132944,
100900,0.0015596702,0.0000000017,0.0006393293,0.0115598927,0.0016109267,,0.0009789437,0.0011948454,0.0016068804,
101000,0.0015652902,0.0000000015,0.0006402509,0.0115616888,0.0016044648,,0.0009783023,0.0011933757,0.0016147614,
101100,0.0015703313,0.0000000000,0.0006365440,0.0115685580,0.0016027133,,0.0009732500,0.0011968044,0.0016192635,
101200,0.0015620542,0.0000000000,0.0006329524,0.0115675786,0.0015989997,,0.0009722793,0.0011958362,0.0016112929,
101300,0.0015574571,0.0000000020,0.0006381288,0.0115686677,0.0015937919,,0.0009649524,0.0011959089,0.0016100883,
101400,0.0015573542,0.0000000008,0.0006392668,0.0115661878,0.0015958399,,0.0009656603,0.0011801384,0.0016024921,
101500,0.0015637937,0.0000000015,0.0006361179,0.0115578131,0.0015934173,,0.0009696136,0.0011818078,0.0016058484,
101600,0.0015603971,0.0000000000,0.0006306360,0.0115548317,0.0015958205,,0.0009678692,0.0011818952,0.0015966691,
101700,0.0015548397,0.0000000013,0.0006269129,0.0115640519,0.0015877411,,0.0009609403,0.0011760051,0.0015972222,
101800,0.0015514877,0.0000000000,0.0006294502,0.0115665656,0.0015836750,,0.0009481577,0.0011695099,0.0015952493,
101900,0.0015551099,0.0000000000,0.0006185673,0.0115605935,0.0015779566,,0.0009398080,0.0011713568,0.0015885516,
102000,0.0015632098,0.0000000000,0.0006214357,0.0115557296,0.0015756170,,0.0009436934,0.0011718186,0.0015857243,
102100,0.0015583212,0.0000000000,0.0006212485,0.0115639717,0.0015810766,,0.0009484410,0.0011686987,0.0015854774,
102200,0.0015545236,0.0000000000,0.0006202600,0.0115706832,0.0015887989,,0.0009441800,0.0011793404,0.0015890433,
102300,0.0015664588,0.0000000000,0.0006205640,0.0115783436,0.0015956008,,0.0009440773,0.0011878424,0.0015951922,
102400,0.0015546313,0.0000000000,0.0006188863,0.0115853995,0.0015954032,,0.0009354612,0.0011823543,0.0015909692,
102500,0.0015573650,0.0000000000,0.0006152636,0.0115854735,0.0015896463,,0.0009328431,0.0011914911,0.0015909392,
102600,0.0015478856,0.0000000000,0.0006220549,0.0115904516,0.0015909509,,0.0009385805,0.0011910358,0.0015907368,
102700,0.0015491875,0.0000000000,0.0006148193,0.0115973340,0.0015966291,,0.0009402226,0.0011833529,0.0015935882,
102800,0.0015635903,0.0000000011,0.0006172820,0.0115982607,0.0015984997,,0.0009391799,0.0011888096,0.0016072085,
102900,0.0015702044,0.0000000008,0.0006245577,0.0116012529,0.0016000465,,0.0009323856,0.0011833551,0.0016095927,
103000,0.0015661579,0.0000000000,0.0006211697,0.0115967426,0.0015917913,,0.0009373447,0.0011859987,0.0016070852,
103100,0.0015637055,0.0000000000,0.0006268794,0.0115994651,0.0015830160,,0.0009347479,0.0011835553,0.0016105018,
103200,0.0015593902,0.0000000019,0.0006347362,0.0116030503,0.0015773373,,0.0009363056,0.0011828488,0.0016081445,
103300,0.0015552650,0.0000000008,0.0006353963,0.0116049955,0.0015764215,,0.0009405710,0.0011858752,0.0016103779,
103400,0.0015450587,0.0000000015,0.0006235985,0.0116039800,0.0015824574,,0.0009373833,0.0011799410,0.0016068045,
103500,0.0015446072,0.0000000000,0.0006202160,0.0115996271,0.0015718341,,0.0009314536,0.0011722602,0.0016048308,
103600,0.0015527953,0.0000000008,0.0006231320,0.0115973272,0.0015555952,,0.0009293011,0.0011687323,0.0016067919,
103700,0.0015488908,0.0000000000,0.0006341855,0.0116021684,0.0015454925,,0.0009328603,0.0011706304,0.0016024238,
103800,0.0015404629,0.0000000000,0.0006344503,0.0115994609,0.0015375672,,0.0009308032,0.0011701865,0.0015951968,
103900,0.0015357304,0.0000000000,0.0006371728,0.0115995317,0.0015389586,,0.0009315578,0.0011696907,0.0015891361,
104000,0.0015320580,0.0000000000,0.0006349588,0.0115966314,0.0015446602,,0.0009344868,0.0011720811,0.0015900992,
104100,0.0015292857,0.0000000000,0.0006320425,0.0116058703,0.0015467753,,0.0009350748,0.0011675455,0.0015866479,
104200,0.0015286619,0.0000000011,0.0006330836,0.0116034488,0.0015432340,,0.0009351060,0.0011641083,0.0015886602,
104300,0.0015221427,0.0000000000,0.0006382132,0.0115996803,0.0015367958,,0.0009332284,0.0011576069,0.0015926310,
104400,0.0015207381,0.0000000000,0.0006348141,0.0116027401,0.0015281613,,0.0009325936,0.0011510230,0.0015900503,
104500,0.0015188291,0.0000000019,0.0006357175,0.0115996230,0.0015266803,,0.0009278560,0.0011471248,0.0015827515,
104600,0.0015300233,0.0000000000,0.0006295035,0.0116053696,0.0015242177,,0.0009216696,0.0011495241,0.0015945128,
104700,0.0015234040,0.0000000011,0.0006298487,0.0115983010,0.0015213952,,0.0009180353,0.0011394422,0.0015989379,
104800,0.0015150889,0.0000000015,0.0006305860,0.0115968960,0.0015148771,,0.0009239772,0.0011320530,0.0015997749,
104900,0.0015101288,0.0000000008,0.0006248700,0.0115946373,0.0015051797,,0.0009189177,0.0011297146,0.0015953056,
105000,0.0015067344,0.0000000000,0.0006268023,0.0115971668,0.0015058015,,0.0009138527,0.0011248079,0.0015906565,
105100,0.0015017263,0.0000000000,0.0006213827,0.0115941997,0.0014990018,,0.0009063452,0.0011264969,0.0015890555,
105200,0.0015003896,0.0000000008,0.0006205789,0.0115924709,0.0014963547,,0.0009077577,0.0011198523,0.0015819882,
105300,0.0014966340,0.0000000008,0.0006170899,0.0115972145,0.0015007927,,0.0009080552,0.0011191108,0.0015885580,
105400,0.0014849675,0.0000000013,0.0006128719,0.0115954793,0.0014988519,,0.0009111392,0.0011178385,0.0015842681,
105500,0.0014775396,0.0000000017,0.0006122978,0.0115965432,0.0015027500,,0.0009184198,0.0011155432,0.0015705913,
105600,0.0014813335,0.0000000013,0.0006112112,0.0115961363,0.0014991445,,0.0009208474,0.0011128443,0.0015674010,
105700,0.0014841878,0.0000000017,0.0006111726,0.0115899872,0.0014969154,,0.0009245755,0.0011106463,0.0015616994,
105800,0.0014859345,0.0000000015,0.0006115907,0.0115895695,0.0014958799,,0.0009200079,0.0011076874,0.0015620226,
105900,0.0014867631,0.0000000000,0.0006076704,0.0115878854,0.0014873399,,0.0009171789,0.0011001575,0.0015628148,
106000,0.0014762744,0.0000000013,0.0006037927,0.0115968093,0.0014855634,,0.0009219805,0.0011021925,0.0015606896,
106100,0.0014772709,0.0000000000,0.0006025580,0.0115866160,0.0014788166,,0.0009196406,0.0011032377,0.0015564388,
106200,0.0014721796,0.0000000008,0.0006074068,0.0115951550,0.0014739871,,0.0009137107,0.0010976545,0.0015483948,
106300,0.0014745890,0.0000000000,0.0006121292,0.0116015796,0.0014718187,,0.0009113127,0.0011046003,0.0015489197,
106400,0.0014733670,0.0000000000,0.0006097701,0.0115963054,0.0014664840,,0.0009116097,0.0010989377,0.0015489701,
106500,0.0014727860,0.0000000000,0.0006061772,0.0116103594,0.0014673959,,0.0009096199,0.0010905896,0.0015462731,
106600,0.0014698706,0.0000000000,0.0006101431,0.0116121489,0.0014650572,,0.0009069650,0.0010923775,0.0015430474,
106700,0.0014730308,0.0000000015,0.0006055217,0.0116195482,0.0014645742,,0.0009049458,0.0010858057,0.0015464990,
106800,0.0014739438,0.0000000011,0.0006083502,0.0116256101,0.0014623539,,0.0009058284,0.0010826479,0.0015458135,
106900,0.0014632230,0.0000000013,0.0006059226,0.0116215392,0.0014550124,,0.0009012645,0.0010837610,0.0015486280,
107000,0.0014627807,0.0000000000,0.0006065729,0.0116292337,0.0014498799,,0.0008926136,0.0010827710,0.0015416593,
107100,0.0014552726,0.0000000000,0.0006058670,0.0116341030,0.0014443415,,0.0008905565,0.0010838935,0.0015377170,
107200,0.0014533693,0.0000000000,0.0006077470,0.0116341035,0.0014428065,,0.0008903985,0.0010788806,0.0015392589,
107300,0.0014448809,0.0000000011,0.0006101068,0.0116406116,0.0014413752,,0.0008867310,0.0010824030,0.0015285599,
107400,0.0014463066,0.0000000000,0.0006087933,0.0116439656,0.0014379176,,0.0008705529,0.0010865802,0.0015351013,
107500,0.0014415604,0.0000000000,0.0006090761,0.0116465876,0.0014375839,,0.0008700695,0.0010823802,0.0015239264,
107600,0.0014402909,0.0000000015,0.0006058458,0.0116436901,0.0014451553,,0.0008756899,0.0010845813,0.0015150639,
107700,0.0014441112,0.0000000000,0.0006011276,0.0116448547,0.0014456281,,0.0008768946,0.0010857613,0.0015201221,
107800,0.0014407353,0.0000000000,0.0006036713,0.0116406059,0.0014461813,,0.0008870040,0.0010850686,0.0015125999,
107900,0.0014238733,0.0000000000,0.0006044881,0.0116374382,0.0014498683,,0.0008912517,0.0010809292,0.0015093118,
108000,0.0014249087,0.0000000008,0.0006024830,0.0116339353,0.0014460650,,0.0008878511,0.0010781104,0.0015016655,
108100,0.0014243741,0.0000000008,0.0006003478,0.0116330989,0.0014398401,,0.0008874759,0.0010718566,0.0014998769,
108200,0.0014355852,0.0000000008,0.0006018433,0.0116363822,0.0014463028,,0.0008952370,0.0010744116,0.0015000109,
108300,0.0014426390,0.0000000000,0.0006049449,0.0116361481,0.0014334620,,0.0008985663,0.0010614934,0.0015039818,
108400,0.0014440656,0.0000000000,0.0006087705,0.0116380693,0.0014298204,,0.0009066146,0.0010570046,0.0015009214,
108500,0.0014383928,0.0000000008,0.0006116193,0.0116393941,0.0014255070,,0.0009061855,0.0010553427,0.0014980543,
108600,0.0014360166,0.0000000015,0.0006111463,0.0116398920,0.0014177708,,0.0009039466,0.0010568981,0.0015008109,
108700,0.0014301717,0.0000000000,0.0006051092,0.0116415035,0.0014094099,,0.0009062241,0.0010617332,0.0014947664,
108800,0.0014268765,0.0000000019,0.0005989719,0.0116361595,0.0014179889,,0.0009127008,0.0010536254,0.0014939269,
108900,0.0014151441,0.0000000013,0.0005983525,0.0116378885,0.0014181752,,0.0009119733,0.0010488891,0.0014886249,
109000,0.0014133600,0.0000000000,0.0006014484,0.0116368063,0.0014113609,,0.0009088431,0.0010608304,0.0014843144,
109100,0.0014105815,0.0000000000,0.0006001774,0.0116348896,0.0014039046,,0.0009024423,0.0010584935,0.0014809860,
109200,0.0014122769,0.0000000000,0.0005976804,0.0116397975,0.0014097912,,0.0009012532,0.0010575624,0.0014741700,
109300,0.0014147213,0.0000000015,0.0005917279,0.0116358343,0.0014021257,,0.0008944287,0.0010581033,0.0014671797,
109400,0.0014187110,0.0000000011,0.0005961786,0.0116367754,0.0013942551,,0.0008949087,0.0010589229,0.0014680398,
109500,0.0014095542,0.0000000000,0.0006004179,0.0116342288,0.0014013514,,0.0008974820,0.0010559900,0.0014692284,
109600,0.0013970683,0.0000000019,0.0006029028,0.0116284588,0.0014080700,,0.0008952946,0.0010611085,0.0014612047,
109700,0.0013929914,0.0000000000,0.0006067416,0.0116299196,0.0014078246,,0.0008961819,0.0010677813,0.0014587595,
109800,0.0013888740,0.0000000000,0.0006107103,0.0116309307,0.0014031053,,0.0008892036,0.0010685984,0.0014655699,
109900,0.0013898080,0.0000000008,0.0006068980,0.0116268921,0.0013996747,,0.0008920304,0.0010592606,0.0014540812,
110000,0.0013853238,0.0000000000,0.0006043193,0.0116253991,0.0013995150,,0.0008939188,0.0010540101,0.0014528614,
110100,0.0014005220,0.0000000015,0.0006030376,0.0116220493,0.0013948902,,0.0008919220,0.0010546148,0.0014441138,
110200,0.0014024146,0.0000000000,0.0006087975,0.0116225769,0.0013934450,,0.0008969871,0.0010448187,0.0014452967,
110300,0.0014015777,0.0000000000,0.0006114329,0.0116248990,0.0013959980,,0.0009013099,0.0010417426,0.0014461841,
110400,0.0013934247,0.0000000013,0.0006106601,0.0116217447,0.0013904766,,0.0009044189,0.0010460410,0.0014424803,
110500,0.0013934004,0.0000000000,0.0006163929,0.0116235701,0.0013889005,,0.0009059110,0.0010469617,0.0014462677,
110600,0.0013850262,0.0000000000,0.0006177210,0.0116260005,0.0013813877,,0.0009116145,0.0010418687,0.0014383537,
110700,0.0013800889,0.0000000008,0.0006160838,0.0116172020,0.0013814482,,0.0009174037,0.0010419582,0.0014310910,
110800,0.0013864020,0.0000000000,0.0006123473,0.0116144543,0.0013764463,,0.0009168735,0.0010385092,0.0014295133,
110900,0.0013759731,0.0000000000,0.0006083520,0.0116156818,0.0013682873,,0.0009159948,0.0010265088,0.0014283872,
111000,0.0013751034,0.0000000000,0.0006047991,0.0116158768,0.0013676505,,0.0009176671,0.0010176525,0.0014268351,
111100,0.0013724757,0.0000000000,0.0006067607,0.0116200224,0.0013641538,,0.0009243115,0.0010302804,0.0014213896,
111200,0.0013693514,0.0000000000,0.0006078884,0.0116246724,0.0013515126,,0.0009219195,0.0010173403,0.0014167310,
111300,0.0013685743,0.0000000019,0.0006132692,0.0116206428,0.0013558092,,0.0009212192,0.0010100317,0.0014174680,
111400,0.0013695856,0.0000000000,0.0006144663,0.0116215647,0.0013581836,,0.0009200968,0.0010112336,0.0014233804,
111500,0.0013619180,0.0000000000,0.0006161320,0.0116176471,0.0013574074,,0.0009115431,0.0010221118,0.0014214867,
111600,0.0013530433,0.0000000005,0.0006177650,0.0116168421,0.0013454563,,0.0009130692,0.0010218365,0.0014182706,
111700,0.0013538375,0.0000000000,0.0006159880,0.0116132310,0.0013458162,,0.0009141854,0.0010304768,0.0014000824,
111800,0.0013644168,0.0000000009,0.0006169000,0.0116152125,0.0013507346,,0.0009172051,0.0010227252,0.0014020813,
111900,0.0013723409,0.0000000000,0.0006223501,0.0116096698,0.0013452486,,0.0009186506,0.0010235240,0.0014022484,
112000,0.0013662103,0.0000000015,0.0006187312,0.0116131683,0.0013458037,,0.0009220867,0.0010289509,0.0014013449,
112100,0.0013677555,0.0000000014,0.0006176708,0.0116086940,0.0013406872,,0.0009290360,0.0010319645,0.0013963507,
112200,0.0013733005,0.0000000000,0.0006144076,0.0116147257,0.0013422850,,0.0009265424,0.0010329884,0.0013983413,
112300,0.0013627937,0.0000000000,0.0006122455,0.0116131227,0.0013375828,,0.0009258465,0.0010181872,0.0013962461,
112400,0.0013545372,0.0000000000,0.0006186899,0.0116135813,0.0013400888,,0.0009229174,0.0010180313,0.0013904667,
112500,0.0013427078,0.0000000000,0.0006124054,0.0116149369,0.0013401636,,0.0009224199,0.0010226762,0.0013895751,
112600,0.0013363451,0.0000000000,0.0006159541,0.0116103228,0.0013424870,,0.0009276779,0.0010142000,0.0013929414,
112700,0.0013433712,0.0000000014,0.0006178649,0.0116074460,0.0013498353,,0.0009339639,0.0010052782,0.0013875039,
112800,0.0013408873,0.0000000009,0.0006195863,0.0116079772,0.0013449171,,0.0009358157,0.0010073334,0.0013878292,
112900,0.0013476007,0.0000000000,0.0006169097,0.0116026831,0.0013455310,,0.0009356744,0.0009971237,0.0013876977,
113000,0.0013383140,0.0000000000,0.0006167324,0.0116032299,0.0013412939,,0.0009387073,0.0010001635,0.0013911862,
113100,0.0013431519,0.0000000000,0.0006122729,0.0116001907,0.0013384666,,0.0009469488,0.0009949835,0.0013868350,
113200,0.0013346975,0.0000000008,0.0006150707,0.0116070950,0.0013306179,,0.0009499660,0.0009948297,0.0013930057,
113300,0.0013391559,0.0000000008,0.0006161252,0.0116057633,0.0013381810,,0.0009565070,0.0009871793,0.0013914826,
113400,0.0013309298,0.0000000000,0.0006159826,0.0116058767,0.0013328478,,0.0009535136,0.0009879329,0.0013989175,
113500,0.0013293580,0.0000000013,0.0006149115,0.0116061698,0.0013330271,,0.0009516676,0.0009855316,0.0014006332,
113600,0.0013283586,0.0000000000,0.0006110169,0.0115997050,0.0013376863,,0.0009513357,0.0009974110,0.0014019425,
113700,0.0013193645,0.0000000000,0.0006035845,0.0115959645,0.0013312997,,0.0009553253,0.0010033682,0.0013996540,
113800,0.0013164492,0.0000000000,0.0006039513,0.0115994878,0.0013369637,,0.0009605623,0.0010072515,0.0014003951,
113900,0.0013177931,0.0000000017,0.0006038867,0.0115999107,0.0013355523,,0.0009628852,0.0010079033,0.0014010251,
114000,0.0013218824,0.0000000000,0.0006015433,0.0115976385,0.0013407267,,0.0009520377,0.0010080816,0.0013917906,
114100,0.0013258957,0.0000000000,0.0005984684,0.0116041669,0.0013337887,,0.0009485806,0.0010084184,0.0013952962,
114200,0.0013273713,0.0000000008,0.0006035858,0.0116082831,0.0013276391,,0.0009492798,0.0010014441,0.0013945046,
114300,0.0013238631,0.0000000013,0.0006001179,0.0116074642,0.0013332758,,0.0009525248,0.0010007199,0.0013978997,
114400,0.0013253821,0.0000000015,0.0006027896,0.0116056470,0.0013315979,,0.0009522787,0.0009996394,0.0013953354,
114500,0.0013258946,0.0000000015,0.0006064127,0.0116111728,0.0013414894,,0.0009526603,0.0009989784,0.0013928077,
114600,0.0013204141,0.0000000000,0.0006071528,0.0116071535,0.0013376562,,0.0009593678,0.0009970672,0.0013931702,
114700,0.0013120775,0.0000000011,0.0006083901,0.0116069434,0.0013341842,,0.0009641415,0.0009962937,0.0013862662,
114800,0.0013118172,0.0000000011,0.0006063593,0.0116097807,0.0013249961,,0.0009651284,0.0009941641,0.0013900142,
114900,0.0013177381,0.0000000000,0.0006022351,0.0116114076,0.0013297272,,0.0009561669,0.0009886139,0.0013955289,
115000,0.0013071466,0.0000000017,0.0005986360,0.0116068053,0.0013348162,,0.0009607978,0.0009831718,0.0013935578,
115100,0.0013038687,0.0000000008,0.0006058822,0.0116110860,0.0013359345,,0.0009550090,0.0009814714,0.0013896853,
115200,0.0013052407,0.0000000000,0.0006032946,0.0116084852,0.0013367331,,0.0009534545,0.0009893012,0.0013870962,
115300,0.0013021718,0.0000000000,0.0006022104,0.0116070683,0.0013292283,,0.0009537362,0.0009920922,0.0013899047,
115400,0.0012984267,0.0000000000,0.0005985388,0.0116112555,0.0013226305,,0.0009568477,0.0009918777,0.0013819406,
115500,0.0012930927,0.0000000000,0.0005984910,0.0116100747,0.0013207509,,0.0009577150,0.0009884338,0.0013783613,
115600,0.0012860976,0.0000000000,0.0005922129,0.0116079447,0.0013198506,,0.0009598475,0.0009815065,0.0013758405,
115700,0.0012742162,0.0000000011,0.0005905306,0.0116046431,0.0013237971,,0.0009676608,0.0009742538,0.0013750543,
115800,0.0012659831,0.0000000000,0.0005904744,0.0116016570,0.0013322147,,0.0009712924,0.0009738929,0.0013687848,
115900,0.0012600538,0.0000000000,0.0005900681,0.0115991790,0.0013362709,,0.0009702488,0.0009725766,0.0013653061,
116000,0.0012652172,0.0000000000,0.0005852258,0.0115944482,0.0013342458,,0.0009696696,0.0009631346,0.0013724648,
116100,0.0012675766,0.0000000000,0.0005866285,0.0115961241,0.0013329136,,0.0009727509,0.0009619750,0.0013640229,
116200,0.0012781211,0.0000000008,0.0005877500,0.0115983019,0.0013344227,,0.0009702534,0.0009613231,0.0013680086,
116300,0.0012779648,0.0000000000,0.0005866653,0.0115986004,0.0013337874,,0.0009730096,0.0009527727,0.0013737605,
116400,0.0012736793,0.0000000019,0.0005918491,0.0116017465,0.0013349813,,0.0009743508,0.0009555927,0.0013684906,
116500,0.0012660944,0.0000000000,0.0005939988,0.0116041019,0.0013321588,,0.0009768768,0.0009529415,0.0013580638,
116600,0.0012683323,0.0000000011,0.0005935294,0.0116140955,0.0013332839,,0.0009818565,0.0009490091,0.0013565485,
116700,0.0012697842,0.0000000000,0.0005901269,0.0116126459,0.0013384969,,0.0009872934,0.0009484487,0.0013549594,
116800,0.0012713673,0.0000000000,0.0005898982,0.0116172299,0.0013396157,,0.0009950289,0.0009403115,0.0013527206,
116900,0.0012661887,0.0000000000,0.0005895621,0.0116274646,0.0013372980,,0.0009902744,0.0009348745,0.0013615302,
117000,0.0012752598,0.0000000008,0.0005936422,0.0116301274,0.0013403632,,0.0009958950,0.0009399160,0.0013604115,
117100,0.0012740059,0.0000000000,0.0005895494,0.0116320684,0.0013476195,,0.0009888283,0.0009327263,0.0013600180,
117200,0.0012729303,0.0000000008,0.0005882693,0.0116370925,0.0013440822,,0.0009840777,0.0009365415,0.0013628243,
117300,0.0012670463,0.0000000000,0.0005836393,0.0116362901,0.0013385078,,0.0009894043,0.0009387286,0.0013632672,
117400,0.0012643653,0.0000000019,0.0005761264,0.0116279838,0.0013347669,,0.0009844215,0.0009365352,0.0013565826,
117500,0.0012693979,0.0000000008,0.0005784819,0.0116251521,0.0013361463,,0.0009872092,0.0009323516,0.0013613091,
117600,0.0012744120,0.0000000013,0.0005818078,0.0116218596,0.0013348810,,0.0009804477,0.0009397069,0.0013557348,
117700,0.0012705963,0.0000000000,0.0005826718,0.0116216636,0.0013315739,,0.0009773906,0.0009374108,0.0013512472,
117800,0.0012703393,0.0000000000,0.0005806162,0.0116205137,0.0013301978,,0.0009753340,0.0009296014,0.0013527049,
117900,0.0012554038,0.0000000008,0.0005835936,0.0116199969,0.0013285748,,0.0009797506,0.0009306039,0.0013486603,
118000,0.0012545253,0.0000000000,0.0005785301,0.0116205928,0.0013358684,,0.0009780640,0.0009287941,0.0013518329,
118100,0.0012501416,0.0000000022,0.0005727265,0.0116238461,0.0013332092,,0.0009705706,0.0009226648,0.0013616221,
118200,0.0012518776,0.0000000000,0.0005717415,0.0116293688,0.0013338805,,0.0009668451,0.0009209008,0.0013578966,
