t,Naive3,UCB1,Random,Softmax0.1,EnsembleEAnnealingUpdateAll,EnsembleRandomUpdateAll,EXP30.5,eAnnealing,eGreedy0.1,
5200,0.0044592584,0.0000000008,0.0031482487,0.0114340252,0.0029988132,,0.0033663369,0.0020216103,0.0022949703,
5300,0.0044787382,0.0000000012,0.0031052235,0.0114771689,0.0030194343,,0.0032717039,0.0020229782,0.0022835386,
5400,0.0042793675,0.0000000000,0.0030533317,0.0114453983,0.0030185026,,0.0031925518,0.0020897501,0.0022870683,
5500,0.0041059387,0.0000000000,0.0031295893,0.0113674563,0.0030243889,,0.0031727142,0.0019988426,0.0022342192,
5600,0.0040262215,0.0000000005,0.0031389211,0.0112630216,0.0029735929,,0.0030327016,0.0018579154,0.0022018661,
5700,0.0041046883,0.0000000012,0.0031808805,0.0111779859,0.0028720800,,0.0030849769,0.0019647295,0.0021338940,
5800,0.0040814270,0.0000000008,0.0031139008,0.0112097697,0.0028635861,,0.0030553910,0.0020071711,0.0021523430,
5900,0.0040106031,0.0000000008,0.0031590266,0.0111506790,0.0029177648,,0.0031046264,0.0019387588,0.0019652248,
6000,0.0040408562,0.0000000000,0.0032060906,0.0112014467,0.0028217551,,0.0029627627,0.0019624248,0.0018683524,
6100,0.0039472469,0.0000000011,0.0031317978,0.0113501083,0.0027967367,,0.0029758802,0.0019388437,0.0018405731,
6200,0.0039005367,0.0000000013,0.0031025394,0.0112682195,0.0028697842,,0.0029714651,0.0019170945,0.0018135182,
6300,0.0038899469,0.0000000005,0.0031328141,0.0112179781,0.0028395607,,0.0029909440,0.0019424188,0.0018335910,
6400,0.0037699988,0.0000000000,0.0030469336,0.0111720571,0.0028081885,,0.0029838159,0.0018077569,0.0018586965,
6500,0.0036725218,0.0000000000,0.0030494394,0.0111933447,0.0026714997,,0.0029506125,0.0017909921,0.0017615665,
6600,0.0035670691,0.0000000000,0.0029162027,0.0111707776,0.0026140758,,0.0028761684,0.0018310153,0.0018863890,
6700,0.0035751176,0.0000000013,0.0028832460,0.0112018215,0.0027235444,,0.0029641931,0.0019164822,0.0019024826,
6800,0.0034914936,0.0000000000,0.0027597011,0.0111818711,0.0025555786,,0.0029459765,0.0018080861,0.0017109458,
6900,0.0034243201,0.0000000000,0.0026946390,0.0112126998,0.0024590706,,0.0030439038,0.0017154589,0.0017394726,
7000,0.0035681699,0.0000000011,0.0027028504,0.0111550544,0.0024346490,,0.0029686571,0.0018463422,0.0017567750,
7100,0.0035361183,0.0000000000,0.0027157123,0.0111200967,0.0024111427,,0.0029959196,0.0018066640,0.0018164828,
7200,0.0035378065,0.0000000012,0.0027667784,0.0111769548,0.0024183317,,0.0029968905,0.0018681631,0.0018348409,
7300,0.0036403492,0.0000000000,0.0027217747,0.0112193453,0.0024536239,,0.0029858405,0.0018999001,0.0018481647,
7400,0.0036696509,0.0000000000,0.0027425595,0.0113018494,0.0025351204,,0.0029856609,0.0019439742,0.0019511005,
7500,0.0037172431,0.0000000000,0.0026768013,0.0112937662,0.0025791892,,0.0029604504,0.0018429123,0.0019316161,
7600,0.0036720350,0.0000000012,0.0026608744,0.0112736056,0.0025700945,,0.0029235014,0.0018036078,0.0018661031,
7700,0.0036555462,0.0000000000,0.0026161164,0.0111615475,0.0026248312,,0.0029168496,0.0018088816,0.0019124011,
7800,0.0037587432,0.0000000000,0.0025435518,0.0110308252,0.0025789170,,0.0028163528,0.0018218065,0.0019501232,
7900,0.0039254115,0.0000000000,0.0024907505,0.0109908728,0.0025301954,,0.0027571217,0.0017908597,0.0019505860,
8000,0.0039169570,0.0000000012,0.0025319687,0.0109826283,0.0025671778,,0.0027363011,0.0018559869,0.0019545886,
8100,0.0038658078,0.0000000005,0.0025609016,0.0108551964,0.0025980314,,0.0027458430,0.0018838525,0.0020927049,
